vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
-1.000000,1.988645,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.09/target,si/si6_bvg_b09_800/si6_b09_m800.09/pattern,800,7200,480,4274
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.00/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.00/pattern,1296,7200,777,3016
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.01/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.01/pattern,1296,7200,777,2928
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.02/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.02/pattern,1296,7200,777,4100
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.03/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.03/pattern,1296,7200,777,2848
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.04/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.04/pattern,1296,7200,777,4048
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.05/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.05/pattern,1296,7200,777,4116
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.06/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.06/pattern,1296,7200,777,2718
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.07/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.07/pattern,1296,7200,777,2850
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.08/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.08/pattern,1296,7200,777,4096
-1.000000,-1.000000,0,-1,-1,si/si6_m4D_m4D_1296/si6_m4D_m1296.09/target,si/si6_m4D_m4D_1296/si6_m4D_m1296.09/pattern,1296,7200,777,2954
-1.000000,0.004171,0,-1,1,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.00/target,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.00/pattern,625,3900,375,1820
-1.000000,0.013127,0,-1,4,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.01/target,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.01/pattern,625,3896,375,1840
-1.000000,0.004420,0,-1,2,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.02/target,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.02/pattern,625,3900,375,1944
-1.000000,0.007352,0,-1,2,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.03/target,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.03/pattern,625,3898,375,1808
-1.000000,0.037585,0,-1,576,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.04/target,si/si6_m4D_m4Dr4_625/si6_m4Dr4_m625.04/pattern,625,3900,375,1884
