target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,function,min,max,num_samples,median,mean,stdev,num_found_matchings
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.03/target,160,926,si/si4_bvg_b09m_400/si4_b09m_m400.03/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.003531473000000007,0.003671773000000003,10,0.003550098499999998,0.003564517100000001,4.142707288838989e-05,8
400,3598,si/si4_bvg_b09m_400/si4_b09m_m400.04/target,160,890,si/si4_bvg_b09m_400/si4_b09m_m400.04/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.009131528,0.009689047999999999,10,0.009148797000000007,0.009262952799999998,0.00018161293109663306,64
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.05/target,160,904,si/si4_bvg_b09m_400/si4_b09m_m400.05/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.002248641999999995,0.0025490619999999978,10,0.0024106119999999995,0.0023835730999999987,9.279484855727034e-05,2
400,3588,si/si4_bvg_b09m_400/si4_b09m_m400.06/target,160,948,si/si4_bvg_b09m_400/si4_b09m_m400.06/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.002324212000000006,0.0027962129999999988,10,0.002580851999999998,0.002552578299999998,0.00015772978762854052,8
400,3594,si/si4_bvg_b09m_400/si4_b09m_m400.07/target,160,982,si/si4_bvg_b09m_400/si4_b09m_m400.07/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.001883441999999999,0.002260162000000003,10,0.001899422500000001,0.0019769178000000006,0.00013610976377321382,1
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.08/target,160,938,si/si4_bvg_b09m_400/si4_b09m_m400.08/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0035856429999999995,0.003752543000000004,10,0.0035920124999999983,0.0036108538,5.0724751768300495e-05,16
400,3584,si/si4_bvg_b09m_400/si4_b09m_m400.09/target,160,938,si/si4_bvg_b09m_400/si4_b09m_m400.09/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.002439353000000005,0.002908602000000003,10,0.0027573465000000005,0.002728867100000002,0.00012434806418762902,2
800,7190,si/si4_bvg_b09m_800/si4_b09m_m800.00/target,320,1964,si/si4_bvg_b09m_800/si4_b09m_m800.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.005788413999999999,0.0065436059999999935,10,0.006310390500000006,0.006249124000000001,0.00024361313500803622,8
800,7190,si/si4_bvg_b09m_800/si4_b09m_m800.01/target,320,1934,si/si4_bvg_b09m_800/si4_b09m_m800.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.19128360500000002,0.21891879000000003,10,0.19490746199999995,0.20183956479999998,0.011182743536759843,1152
800,7196,si/si4_bvg_b09m_800/si4_b09m_m800.02/target,320,1980,si/si4_bvg_b09m_800/si4_b09m_m800.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.007593295999999999,0.008548067999999992,10,0.007751016499999999,0.007863546899999997,0.00034101429298310235,24
